IBGE,UF,Município,Tipologia IBGE
110001,RO,ALTA FLORESTA D'OESTE,Intermediário Adjacente
110002,RO,ARIQUEMES,Urbano
110003,RO,CABIXI,Rural Adjacente
110004,RO,CACOAL,Urbano
110005,RO,CEREJEIRAS,Urbano
110006,RO,COLORADO DO OESTE,Intermediário Adjacente
110007,RO,CORUMBIARA,Rural Remoto
110008,RO,COSTA MARQUES,Rural Remoto
110009,RO,ESPIGÃO D'OESTE,Intermediário Adjacente
110010,RO,GUAJARÁ-MIRIM,Urbano
110011,RO,JARU,Urbano
110012,RO,JI-PARANÁ,Urbano
110013,RO,MACHADINHO D'OESTE,Rural Remoto
110014,RO,NOVA BRASILÂNDIA D'OESTE,Rural Adjacente
110015,RO,OURO PRETO DO OESTE,Urbano
110018,RO,PIMENTA BUENO,Urbano
110020,RO,PORTO VELHO,Urbano
110025,RO,PRESIDENTE MÉDICI,Intermediário Adjacente
110026,RO,RIO CRESPO,Rural Adjacente
110028,RO,ROLIM DE MOURA,Urbano
110029,RO,SANTA LUZIA D'OESTE,Rural Adjacente
110030,RO,VILHENA,Urbano
110032,RO,SÃO MIGUEL DO GUAPORÉ,Rural Remoto
110033,RO,NOVA MAMORÉ,Rural Remoto
110034,RO,ALVORADA D'OESTE,Rural Adjacente
110037,RO,ALTO ALEGRE DOS PARECIS,Rural Adjacente
110040,RO,ALTO PARAÍSO,Rural Adjacente
110045,RO,BURITIS,Intermediário Remoto
110050,RO,NOVO HORIZONTE DO OESTE,Rural Adjacente
110060,RO,CACAULÂNDIA,Rural Adjacente
110070,RO,CAMPO NOVO DE RONDÔNIA,Rural Adjacente
110080,RO,CANDEIAS DO JAMARI,Urbano
110090,RO,CASTANHEIRAS,Rural Adjacente
110092,RO,CHUPINGUAIA,Rural Remoto
110094,RO,CUJUBIM,Intermediário Adjacente
110100,RO,GOVERNADOR JORGE TEIXEIRA,Rural Adjacente
110110,RO,ITAPUÃ DO OESTE,Rural Adjacente
110120,RO,MINISTRO ANDREAZZA,Rural Adjacente
110130,RO,MIRANTE DA SERRA,Rural Adjacente
110140,RO,MONTE NEGRO,Rural Adjacente
110143,RO,NOVA UNIÃO,Rural Adjacente
110145,RO,PARECIS,Rural Adjacente
110146,RO,PIMENTEIRAS DO OESTE,Rural Remoto
110148,RO,SÃO FELIPE D'OESTE,Rural Adjacente
110149,RO,SÃO FRANCISCO DO GUAPORÉ,Rural Remoto
110150,RO,SERINGUEIRAS,Rural Remoto
110155,RO,TEIXEIRÓPOLIS,Rural Adjacente
110160,RO,THEOBROMA,Rural Adjacente
110170,RO,URUPÁ,Rural Adjacente
110175,RO,VALE DO ANARI,Rural Remoto
110180,RO,VALE DO PARAÍSO,Rural Adjacente
120001,AC,ACRELÂNDIA,Rural Adjacente
120005,AC,ASSIS BRASIL,Rural Remoto
120010,AC,BRASILÉIA,Intermediário Remoto
120013,AC,BUJARI,Rural Adjacente
120017,AC,CAPIXABA,Rural Adjacente
120020,AC,CRUZEIRO DO SUL,Urbano
120025,AC,EPITACIOLÂNDIA,Intermediário Remoto
120030,AC,FEIJÓ,Intermediário Remoto
120032,AC,JORDÃO,Rural Remoto
120033,AC,MÂNCIO LIMA,Rural Adjacente
120034,AC,MANOEL URBANO,Rural Remoto
120035,AC,MARECHAL THAUMATURGO,Rural Remoto
120038,AC,PLÁCIDO DE CASTRO,Rural Adjacente
120039,AC,PORTO WALTER,Rural Remoto
120040,AC,RIO BRANCO,Urbano
120042,AC,RODRIGUES ALVES,Rural Adjacente
120043,AC,SANTA ROSA DO PURUS,Rural Remoto
120045,AC,SENADOR GUIOMARD,Intermediário Adjacente
120050,AC,SENA MADUREIRA,Intermediário Adjacente
120060,AC,TARAUACÁ,Intermediário Remoto
120070,AC,XAPURI,Rural Adjacente
120080,AC,PORTO ACRE,Rural Adjacente
130002,AM,ALVARÃES,Rural Remoto
130006,AM,AMATURÁ,Rural Remoto
130008,AM,ANAMÃ,Rural Remoto
130010,AM,ANORI,Rural Remoto
130014,AM,APUÍ,Intermediário Remoto
130020,AM,ATALAIA DO NORTE,Rural Remoto
130030,AM,AUTAZES,Rural Remoto
130040,AM,BARCELOS,Intermediário Remoto
130050,AM,BARREIRINHA,Rural Remoto
130060,AM,BENJAMIN CONSTANT,Intermediário Remoto
130063,AM,BERURI,Rural Remoto
130068,AM,BOA VISTA DO RAMOS,Rural Remoto
130070,AM,BOCA DO ACRE,Intermediário Remoto
130080,AM,BORBA,Rural Remoto
130090,AM,CANUTAMA,Rural Remoto
130100,AM,CARAUARI,Urbano
130110,AM,CAREIRO,Rural Adjacente
130115,AM,CAREIRO DA VÁRZEA,Rural Adjacente
130120,AM,COARI,Urbano
130130,AM,CODAJÁS,Intermediário Remoto
130140,AM,EIRUNEPÉ,Intermediário Remoto
130150,AM,ENVIRA,Intermediário Remoto
130160,AM,FONTE BOA,Intermediário Remoto
130165,AM,GUAJARÁ,Rural Adjacente
130170,AM,HUMAITÁ,Urbano
130180,AM,IPIXUNA,Rural Remoto
130185,AM,IRANDUBA,Intermediário Adjacente
130190,AM,ITACOATIARA,Urbano
130195,AM,ITAMARATI,Rural Remoto
130200,AM,ITAPIRANGA,Intermediário Adjacente
130210,AM,JAPURÁ,Rural Remoto
130220,AM,JURUÁ,Rural Remoto
130230,AM,JUTAÍ,Intermediário Remoto
130240,AM,LÁBREA,Intermediário Remoto
130250,AM,MANACAPURU,Urbano
130255,AM,MANAQUIRI,Rural Adjacente
130260,AM,MANAUS,Urbano
130270,AM,MANICORÉ,Rural Remoto
130280,AM,MARAÃ,Rural Remoto
130290,AM,MAUÉS,Rural Remoto
130300,AM,NHAMUNDÁ,Rural Remoto
130310,AM,NOVA OLINDA DO NORTE,Rural Remoto
130320,AM,NOVO AIRÃO,Rural Adjacente
130330,AM,NOVO ARIPUANÃ,Intermediário Remoto
130340,AM,PARINTINS,Urbano
130350,AM,PAUINI,Rural Remoto
130353,AM,PRESIDENTE FIGUEIREDO,Rural Adjacente
130356,AM,RIO PRETO DA EVA,Rural Adjacente
130360,AM,SANTA ISABEL DO RIO NEGRO,Rural Remoto
130370,AM,SANTO ANTÔNIO DO IÇÁ,Intermediário Remoto
130380,AM,SÃO GABRIEL DA CACHOEIRA,Intermediário Remoto
130390,AM,SÃO PAULO DE OLIVENÇA,Rural Remoto
130395,AM,SÃO SEBASTIÃO DO UATUMÃ,Rural Remoto
130400,AM,SILVES,Rural Adjacente
130406,AM,TABATINGA,Urbano
130410,AM,TAPAUÁ,Intermediário Remoto
130420,AM,TEFÉ,Urbano
130423,AM,TONANTINS,Rural Remoto
130430,AM,URUCARÁ,Rural Remoto
130440,AM,URUCURITUBA,Rural Remoto
140002,RR,AMAJARI,Rural Adjacente
140005,RR,ALTO ALEGRE,Rural Adjacente
140010,RR,BOA VISTA,Urbano
140015,RR,BONFIM,Rural Adjacente
140017,RR,CANTÁ,Rural Adjacente
140020,RR,CARACARAÍ,Rural Adjacente
140023,RR,CAROEBE,Rural Remoto
140028,RR,IRACEMA,Rural Adjacente
140030,RR,MUCAJAÍ,Rural Adjacente
140040,RR,NORMANDIA,Rural Adjacente
140045,RR,PACARAIMA,Rural Remoto
140047,RR,RORAINÓPOLIS,Rural Remoto
140050,RR,SÃO JOÃO DA BALIZA,Rural Remoto
140060,RR,SÃO LUIZ,Rural Remoto
140070,RR,UIRAMUTÃ,Rural Remoto
150010,PA,ABAETETUBA,Urbano
150013,PA,ABEL FIGUEIREDO,Intermediário Adjacente
150020,PA,ACARÁ,Rural Adjacente
150030,PA,AFUÁ,Rural Remoto
150034,PA,ÁGUA AZUL DO NORTE,Rural Remoto
150040,PA,ALENQUER,Urbano
150050,PA,ALMEIRIM,Intermediário Remoto
150060,PA,ALTAMIRA,Urbano
150070,PA,ANAJÁS,Rural Remoto
150080,PA,ANANINDEUA,Urbano
150085,PA,ANAPU,Rural Remoto
150090,PA,AUGUSTO CORRÊA,Rural Adjacente
150095,PA,AURORA DO PARÁ,Rural Adjacente
150100,PA,AVEIRO,Rural Remoto
150110,PA,BAGRE,Rural Remoto
150120,PA,BAIÃO,Rural Adjacente
150125,PA,BANNACH,Rural Adjacente
150130,PA,BARCARENA,Urbano
150140,PA,BELÉM,Urbano
150145,PA,BELTERRA,Rural Adjacente
